,892,687,801,855,683
0,887,693,800,860,684
1,888,691,801,850,684
2,891,691,802,853,684
3,884,689,800,860,683
4,880,688,799,852,683
5,881,689,800,857,679
6,884,689,802,858,687
7,883,689,802,858,678
8,878,688,799,858,684
9,882,690,799,857,685
10,876,689,799,858,688
11,879,690,803,855,689
12,886,689,802,859,686
13,884,688,803,861,684
14,881,689,801,857,685
15,889,691,802,857,687
16,882,696,801,860,683
17,886,690,802,861,684
18,885,692,799,860,684
19,887,691,801,859,684
20,889,688,802,860,685
21,888,690,801,860,683
22,878,688,802,860,684
23,884,693,801,857,684
24,887,692,803,859,687
25,887,690,801,860,686
26,886,691,804,857,686
27,888,688,800,859,683
28,888,691,800,859,686
29,888,690,803,857,687
30,890,693,803,854,681
31,890,694,801,857,682
32,892,693,801,858,685
33,887,691,802,854,681
34,888,692,803,853,683
35,888,692,799,859,684
36,889,693,802,859,685
37,891,690,802,861,679
38,894,692,800,861,681
39,889,694,800,859,682
40,888,694,803,858,679
41,886,693,800,861,675
42,888,692,800,854,677
43,888,693,802,855,680
44,887,690,801,857,679
45,889,692,802,857,677
46,889,692,802,854,681
47,887,694,805,858,678
48,890,694,800,855,678
49,888,694,803,857,679
50,888,690,803,857,681
51,891,685,799,857,683
52,887,693,803,857,676
53,891,691,804,857,679
54,888,691,801,859,681
55,890,693,803,859,692
56,879,693,807,855,681
57,890,693,804,858,679
58,887,693,804,857,680
59,888,693,819,856,680
60,888,695,804,858,681
61,887,692,804,861,684
62,891,694,804,858,680
63,888,694,801,856,681
64,889,696,803,856,681
65,893,691,801,856,684
66,886,694,800,855,683
67,888,695,803,858,680
68,888,692,806,855,683
69,886,693,803,856,682
70,891,690,802,856,687
71,887,688,804,856,684
72,886,689,801,856,684
73,886,694,804,857,679
74,887,694,802,855,686
75,886,694,803,853,679
76,889,695,802,856,683
77,888,695,805,852,680
78,888,695,800,856,682
79,887,691,805,856,681
80,887,695,801,856,681
81,887,696,800,857,683
82,885,693,802,853,684
83,889,694,803,852,684
84,887,698,802,856,683
85,889,691,801,857,676
86,888,690,803,853,686
87,885,695,801,855,682
88,886,696,805,851,684
89,888,695,803,851,683
90,889,691,805,856,683
91,889,691,805,853,682
92,889,694,802,853,682
93,888,694,806,853,684
94,890,695,803,857,686
95,886,692,804,853,682
96,888,690,803,852,686
97,886,694,804,852,689
98,888,693,805,854,685
99,885,693,802,855,683
100,886,696,804,848,683
101,888,694,804,851,688
102,880,695,804,855,684
103,880,695,803,859,684
104,890,696,799,853,688
105,887,695,800,857,686
106,888,694,802,856,684
107,889,694,804,850,687
108,889,693,801,855,687
109,888,692,801,855,685
110,889,693,804,854,681
111,880,695,801,855,685
112,888,697,803,852,684
113,887,695,804,846,684
114,887,695,803,851,681
115,886,696,801,851,683
116,889,695,804,855,682
117,887,694,801,853,685
118,885,693,803,857,678
119,888,698,805,856,685
120,885,697,804,852,689
121,887,695,802,858,684
122,889,692,802,856,685
123,887,692,804,855,687
124,888,695,803,857,683
125,887,696,802,852,684
126,888,695,804,852,685
127,883,699,801,855,683
128,884,696,806,855,684
129,889,695,803,851,683
130,885,693,794,856,685
131,887,698,803,854,687
132,888,698,804,855,685
133,887,696,802,857,684
134,888,694,803,856,684
135,887,691,807,855,687
136,886,695,807,855,688
137,885,690,809,854,684
138,890,696,811,853,684
139,886,695,803,859,685
140,887,689,807,856,684
141,888,696,804,857,686
142,876,698,803,856,685
143,886,696,806,854,686
144,887,697,797,856,683
145,885,696,803,858,687
146,886,694,802,857,686
147,878,693,805,856,685
148,884,696,805,856,689
149,886,696,802,852,687
150,880,694,804,856,686
151,884,699,803,855,686
152,884,698,803,858,684
153,884,697,805,856,685
154,883,697,801,858,682
155,885,695,802,857,687
