,917,879,956,940,893
0,927,878,957,942,892
1,930,877,960,942,888
2,922,878,953,943,894
3,922,835,937,930,880
4,919,814,920,916,876
5,914,812,916,912,879
6,914,816,922,916,880
7,918,828,928,918,879
8,917,834,927,922,877
9,919,838,928,926,876
10,919,841,935,927,872
11,919,843,935,933,872
12,916,840,936,931,880
13,910,840,935,932,876
14,919,863,938,938,880
15,913,872,944,938,885
16,923,868,957,939,882
17,922,875,944,940,883
18,919,870,949,939,886
19,922,867,946,937,887
20,923,771,934,925,869
21,917,789,924,912,861
22,924,796,917,912,866
23,926,795,924,917,867
24,925,803,924,917,871
25,923,812,927,918,869
26,928,841,930,925,872
27,930,860,937,931,879
28,929,863,928,926,876
29,936,861,938,925,880
30,931,866,933,929,881
31,927,836,909,918,876
32,927,807,891,902,879
33,922,820,877,891,874
34,923,826,880,895,878
35,922,833,887,894,878
36,924,861,920,917,881
37,928,865,929,930,883
38,929,864,931,926,880
39,925,868,925,927,880
40,929,864,932,932,877
41,928,849,926,928,871
42,927,847,915,916,867
43,928,830,909,894,856
44,927,835,900,886,854
45,927,847,903,892,850
46,927,852,913,909,869
47,927,838,921,916,883
48,928,842,940,942,901
49,928,850,936,942,917
50,932,848,941,939,907
51,928,850,938,942,913
52,931,821,929,940,916
53,927,837,939,938,931
54,934,830,929,935,920
55,935,821,941,940,917
56,936,833,941,937,915
57,936,829,937,940,911
58,937,826,936,939,913
59,937,810,935,935,914
60,937,788,933,932,917
61,936,784,921,920,918
62,935,791,906,902,893
63,936,796,907,905,893
64,925,798,908,906,899
65,930,801,915,914,897
66,927,806,915,920,899
67,923,799,911,920,899
68,926,806,923,922,905
69,907,809,921,928,902
70,896,808,927,929,902
71,877,806,928,929,892
72,835,804,926,925,880
73,800,804,928,926,882
74,745,800,928,923,875
75,724,797,925,922,864
76,733,797,924,917,868
77,737,791,922,924,867
78,738,799,925,923,864
79,739,798,924,923,863
80,735,799,918,921,865
81,731,803,920,921,863
82,735,804,919,922,864
83,741,805,920,925,856
84,880,809,925,923,852
85,905,818,921,921,854
86,913,818,926,927,859
87,929,831,933,927,865
88,930,840,937,926,865
89,925,836,938,928,865
90,923,835,937,927,861
91,914,836,933,929,859
92,871,806,911,927,838
93,802,795,902,920,835
94,756,775,901,913,809
95,752,776,885,897,785
96,751,763,866,867,725
97,755,759,869,863,715
98,764,769,865,866,728
99,804,770,867,869,740
100,872,768,876,870,740
101,880,776,883,876,743
102,867,798,887,880,780
103,880,805,886,877,782
104,886,807,892,886,783
105,915,803,892,893,782
106,924,806,887,894,812
107,929,804,889,893,813
108,928,810,891,896,844
109,923,822,914,923,884
110,926,840,929,932,903
111,925,840,929,933,902
112,925,854,931,932,903
113,927,881,935,937,894
114,920,891,935,937,894
115,919,888,930,937,895
116,920,863,915,930,893
117,917,834,899,921,882
118,917,814,893,921,881
119,910,817,899,919,852
120,910,823,900,927,863
121,895,807,902,927,866
122,908,803,906,925,868
123,908,804,904,924,865
124,913,778,904,919,865
125,914,768,902,918,870
126,912,774,899,914,867
127,914,777,899,906,856
128,913,782,890,903,859
129,900,774,875,893,859
130,873,765,865,889,846
131,816,766,870,887,831
132,781,765,868,892,825
133,772,766,870,890,827
134,769,770,868,892,834
135,755,768,868,886,831
136,744,771,869,885,819
137,745,774,859,877,829
138,744,777,866,875,830
139,749,780,866,875,833
140,751,780,868,877,831
141,851,779,866,876,830
142,878,779,867,878,836
143,877,780,871,882,839
144,900,778,871,886,834
145,924,784,872,888,835
146,920,785,872,888,833
147,907,782,875,886,829
148,858,780,866,886,820
149,794,780,874,884,816
150,763,781,879,883,820
151,758,787,874,870,798
152,781,781,867,862,784
153,858,810,889,897,831
154,881,866,935,935,889
155,879,875,947,937,901
156,884,884,957,951,924
157,881,888,969,964,953
158,902,896,975,963,954
159,912,897,970,955,952
160,907,889,957,955,947
161,902,872,938,943,940
162,885,863,927,930,933
163,879,858,915,919,915
164,889,857,912,905,897
165,892,848,903,895,898
166,889,853,890,894,906
167,890,841,889,893,899
168,888,842,886,894,895
169,881,831,877,886,880
170,862,804,861,878,854
171,853,784,859,875,848
172,849,788,856,875,841
173,851,779,856,872,836
174,852,785,860,874,834
175,868,793,856,879,842
176,873,795,860,881,852
177,876,801,874,897,876
178,890,826,908,916,899
179,907,834,911,917,903
180,910,848,914,922,896
181,917,859,932,931,900
182,914,872,939,937,902
183,918,867,929,934,901
184,915,830,923,935,886
185,915,827,927,930,894
186,917,827,924,932,876
187,916,828,923,929,887
188,912,823,913,924,886
189,905,791,883,919,831
190,905,772,870,902,810
191,902,775,874,901,832
192,902,770,870,902,831
193,902,759,865,891,824
194,898,758,849,877,824
195,891,759,853,888,820
196,894,760,855,882,822
197,888,763,855,884,822
198,889,766,859,886,824
199,888,763,862,885,829
200,888,769,868,896,834
201,888,775,870,898,832
202,896,777,883,902,836
203,894,779,896,917,835
204,899,790,909,923,835
205,897,816,913,927,843
206,896,822,916,928,845
207,902,832,915,930,845
208,899,832,913,927,856
209,900,830,912,930,862
210,905,834,917,927,877
211,900,832,916,932,883
212,897,832,916,938,883
213,888,833,918,924,906
214,901,835,918,937,913
215,896,836,919,940,918
216,897,836,914,940,922
217,896,843,921,941,931
218,896,845,921,944,944
219,899,847,926,942,950
220,895,849,921,946,955
221,897,850,932,947,963
222,899,858,942,956,975
223,897,858,943,957,976
224,895,857,944,953,973
225,889,858,939,951,971
226,883,849,929,951,952
227,884,829,916,936,922
228,884,816,903,927,897
229,886,810,900,923,886
230,877,803,898,913,877
